t_mono,dev_t,seg_id,voltage_v,current_a,remaining_pct
343008.645786,,43,12.193,3.733,86
343008.751292,,43,12.193,3.733,86
343008.856246,,43,12.193,3.732,86
343008.961485,,43,12.193,3.732,86
343009.06684,,43,12.193,3.732,86
343009.171977,,43,12.193,3.732,86
343009.224845,,43,12.193,3.732,86
343009.330308,,43,12.193,3.731,86
343009.435473,,43,12.193,3.731,86
343009.540467,,43,12.192,3.731,86
343009.646018,,43,12.192,3.731,86
343009.751107,,43,12.192,3.731,86
343009.856306,,43,12.192,3.731,86
343009.961342,,43,12.192,3.732,86
343010.066972,,43,12.192,3.732,86
343010.119661,,43,12.192,3.732,86
343010.224917,,43,12.192,3.732,86
343010.329942,,43,12.192,3.732,86
343010.435639,,43,12.192,3.732,86
343010.5404,,43,12.192,3.732,86
343010.64568,,43,12.191,3.732,86
343010.751433,,43,12.191,3.732,86
343010.856267,,44,12.179,4.01,86
343010.961719,,44,12.151,4.633,86
343011.06727,,44,12.131,5.06,86
343011.172287,,44,12.118,5.346,86
343011.224783,,44,12.113,5.451,86
343011.330121,,44,12.106,5.608,86
343011.435578,,44,12.102,5.711,86
343011.540877,,44,12.098,5.779,86
343011.64599,,44,12.096,5.824,86
343011.750956,,44,12.095,5.854,86
343011.856129,,44,12.094,5.873,86
343011.961749,,44,12.093,5.886,86
343012.067127,,44,12.092,5.894,86
343012.172213,,44,12.092,5.9,86
343012.224599,,44,12.092,5.902,86
343012.329967,,44,12.092,5.905,86
343012.435464,,44,12.091,5.907,86
343012.540568,,44,12.091,5.908,86
343012.645848,,44,12.091,5.909,86
343012.75103,,44,12.091,5.91,86
343012.85626,,44,12.091,5.91,86
343012.961345,,44,12.091,5.911,86
343013.066956,,44,12.09,5.911,86
343013.119873,,44,12.09,5.911,86
343013.224839,,44,12.09,5.911,86
343013.329952,,44,12.09,5.911,86
343013.435437,,44,12.09,5.911,86
343013.540574,,44,12.09,5.911,86
343013.645624,,44,12.09,5.911,86
343013.751125,,44,12.089,5.912,86
343013.856386,,44,12.089,5.912,86
343013.961879,,44,12.089,5.912,86
343014.066791,,44,12.089,5.912,86
343014.119798,,44,12.089,5.912,86
343014.224853,,44,12.089,5.912,86
343014.33021,,44,12.089,5.912,86
343014.435115,,44,12.088,5.912,86
343014.540454,,44,12.088,5.912,86
343014.646138,,44,12.088,5.912,86
343014.751038,,44,12.088,5.912,86
343014.85609,,45,12.108,5.468,86
343014.961632,,45,12.149,4.557,86
343015.066909,,45,12.174,3.994,86
343015.119787,,45,12.183,3.796,86
343015.224685,,45,12.195,3.514,86
343015.330009,,45,12.204,3.332,86
343015.435673,,45,12.209,3.214,86
343015.540888,,45,12.212,3.138,86
343015.64597,,45,12.214,3.089,86
343015.751546,,45,12.216,3.056,86
343015.856448,,45,12.217,3.035,86
343015.96152,,45,12.217,3.021,86
343016.066613,,45,12.217,3.012,86
343016.119739,,45,12.218,3.009,86
343016.224681,,45,12.218,3.004,86
343016.329784,,45,12.218,3.001,86
343016.435638,,45,12.218,2.999,86
343016.540389,,45,12.218,2.998,86
343016.645874,,45,12.218,2.997,86
343016.751258,,45,12.218,2.996,86
343016.856658,,45,12.218,2.996,86
343016.961591,,45,12.218,2.995,86
343017.06662,,45,12.218,2.995,86
343017.119636,,45,12.217,2.995,86
343017.224969,,45,12.217,2.995,86
343017.329877,,45,12.217,2.995,86
343017.435135,,45,12.217,2.995,86
343017.540479,,45,12.217,2.995,86
343017.646482,,45,12.217,2.995,86
343017.751071,,45,12.217,2.995,86
343017.856145,,45,12.217,2.995,86
