# selected servo A
#META fw=tvc_char 2.1 test=B axis=0 servo_hz=333 neutral_us=1520 pulse_min=500 pulse_max=2500 win_lo=1370 win_hi=1690 pin_a=18 pin_b=19
#META imu_addr=0x69 who_am_i=0xEA gyro_cfg1=0x3F accel_cfg=0x39 gyro_div=0 gyro_lsb_per_dps=16.4000 acc_lsb_per_g=16384.0
#META i2c_err_at_start=0 buffered=1
#META imu_alive=1 imu_pass=0 imu_rate_hz=1907 g_mag=1.0454
#META gyro_bias_dps=2.3306,1.3877,-1.7717 gyro_noise_dps=0.1920,0.1828,0.1872 acc_noise_g=0.00390,0.00427,0.00414
#META limits_source=user axis_lo=1370 axis_hi=1690 axis_center=1520 axis_half=150
#WARN IMU health check did not pass -- see the health block above; this run is suspect
#META log_hz=1000 pre_ms=200 post_ms=2000 n=2200 arm_ms=1800 center_us=1520 half_travel_us=150
#COLS rec,t_us,phase,seq,axis,cmd_a,cmd_b,ax,ay,az,gx,gy,gz,flags
S,265000,post,0,0,1527,1520,-192,-752,-17096,46,8,-29,0
S,266000,post,0,0,1527,1520,-336,-640,-17176,35,6,-26,0
S,267000,post,0,0,1527,1520,-304,-1024,-17000,38,4,-24,0
S,268000,post,0,0,1527,1520,-232,-1048,-16944,38,9,-32,0
S,269000,post,0,0,1527,1520,-456,-784,-17104,39,6,-32,0
S,270000,post,0,0,1527,1520,-600,-720,-17032,39,7,-28,0
S,271000,post,0,0,1527,1520,-480,-976,-17128,37,10,-32,0
S,272000,post,0,0,1527,1520,-456,-1016,-17072,42,16,-26,0
S,273000,post,0,0,1527,1520,-576,-696,-17064,42,13,-32,0
S,274000,post,0,0,1527,1520,-264,-1144,-17096,41,17,-29,0
S,275000,post,0,0,1527,1520,-152,-1072,-16992,39,20,-32,0
S,276000,post,0,0,1527,1520,-304,-784,-17056,37,19,-33,0
S,277000,post,0,0,1527,1520,-296,-864,-17056,36,17,-28,0
S,278000,post,0,0,1527,1520,-392,-880,-17040,42,25,-32,0
S,279001,post,0,0,1527,1520,-400,-688,-16984,42,20,-32,0
S,280001,post,0,0,1527,1520,-448,-744,-17032,34,22,-25,0
S,281000,post,0,0,1527,1520,-520,-1096,-17152,32,24,-29,0
